rotulo;distancia_media;paradas_impactadas;porcentagem_impactadas;variacao_passageiros;num_paradas;paradas_afetadas
302110;	1184;2.09;0.79;-0.08;67;53
302410;	1507;1.91;0.79;-0.02;57;45
311C10;	1430;1.53;0.14;-0.11;	108;15
314110;	1427;1.84;0.35;-0.06;127;45
314J10;	1281;1.93;0.43;-0.04;141;60
314V10;	1124;2.27;0.33;-0.14;111;	37
339010;	1172;2.11;	0.38;-0.05;143;55
373M10;	1369;1.96;0.24;-0.1;105;25
374610;	1791;1.18;0.13;-0.02;85;11
3746-31;1770;1.2;0.14;-0.07;73;10
422110;	1221;2.22;0.39;-0.06;117;46
422210;	1299;1.93;0.56;-0.16;106;59
428610;	1581;1.93;0.58;-0.06;78;45
428810;	1414;2.06;0.48;-0.03;143;69
502610;	1927;1;    0.06;-0.07;33;2
511010;	1112;2.07;0.54;-0.07;84;45
511021;1177;2.05;0.49;-0.08;43;21
511022;1177;2.05;0.57;-0.1;37;21
511023;1147;2.22;0.62;-0.18;29;18
511024;1112;2.07;0.62;-0.24;73;45
511041;1112;2.07;0.54;	 0;    83;45
514110;	1426;1.84;0.39;-0.08;116;45
514210;	1309;1.92;0.41;-0.09;145;60
514310;	1112;2.07;0.48;-0.02;93;45
5143-31;1177;2.05;0.51;-0.02;41;21
514410;	1426;1.84;0.34;-0.13;134;45
514510;	1730;1.09;0.16;-0.1;138;22
514541;1730;1.09;0.16;-0.12;135;22
519M10;	1216;2.09;0.44;-0.03;120;53
N50111;	1112;2.07;0.41; 0.07;111;	45
N50311;	1426;1.84;0.36; 0;    125;45
N53111;	1299;1.93;0.55;-0.05;108;59
N53211;	1844;1;    0.18;-0.01;28; 5
N53311;	1506;1.71;0.66; 0.01;120.79